model,class,iou,dice
sshr,0,0.7635816566294518,0.8659442036710737
sshr,1,0.7015749300189476,0.8246183199362667
sshr,2,0.5732113893742691,0.7287150261507562
sshr,3,0.6295002604464313,0.7726298371673389
old_gcqm,0,0.7469646546255889,0.8551571465945648
old_gcqm,1,0.6711144433120497,0.803193875796969
old_gcqm,2,0.5548461900412369,0.7136991344803327
old_gcqm,3,0.601246740154281,0.7509732573711289
full_ccac,0,0.7489468311974283,0.8564546592701813
full_ccac,1,0.6749248343428099,0.805916564736626
full_ccac,2,0.5569752982146031,0.7154581050236204
full_ccac,3,0.6038285304112244,0.7529838994152345
ccac_off,0,0.7448706560280569,0.8537832342526135
ccac_off,1,0.6687840030230162,0.8015225479289212
ccac_off,2,0.553680706802462,0.7127342244494486
ccac_off,3,0.5999434985608059,0.7499558566917793
uniform_local,0,0.7489888836704569,0.8564821545333284
uniform_local,1,0.6749662194163343,0.8059460681559725
uniform_local,2,0.5570018262370035,0.7154799909042853
uniform_local,3,0.6039017817467712,0.7530408515277989
no_rival,0,0.7490047951592803,0.8564925576331186
no_rival,1,0.6749801678541899,0.805956011668967
no_rival,2,0.5570128942954553,0.7154891219414112
no_rival,3,0.6039096439550635,0.7530469639996543
