snapshot,stage,integrity_max_abs_sum_error,integrity_mean_abs_sum_error,complement_responsibility_iou_mean,complement_responsibility_iou_median,complement_centroid_distance_mean,complement_distinct_peak_fraction,utilization_dominant_share_median,utilization_dominant_share_mean,utilization_effective_queries_median,utilization_effective_queries_mean,utilization_normalized_entropy_median
epoch5,2,1.0132789611816406e-06,1.6161237681444618e-07,0.6523539570160211,0.7840909361839294,0.020815664383345783,0.6964285714285714,0.01922708749771118,0.04119408398400992,137.01184844970703,114.98385308470044,0.9321637451648712
epoch5,3,9.5367431640625e-07,1.634055308841198e-07,0.24493581615721008,0.21002376079559326,0.005718629879317762,0.9285714285714286,0.010353261139243841,0.019629731158992008,138.23822784423828,138.88499328068323,0.9338325262069702
epoch10,2,1.0728836059570312e-06,1.6079450304573584e-07,0.7356296973427691,0.891566276550293,0.01581822685849537,0.5464285714285715,0.015481060836464167,0.03030639733021547,139.04325103759766,123.00535896846226,0.9349508285522461
epoch10,3,1.0132789611816406e-06,1.6388425905233817e-07,0.2722280892194249,0.2480158731341362,0.00221914378281716,0.9035714285714286,0.009621101897209883,0.018300940424004302,137.8774871826172,138.57689373833793,0.9333500862121582
epoch15,2,1.0132789611816406e-06,1.5999800950794452e-07,0.8243972266309096,0.9503105878829956,0.008668578345207477,0.39642857142857146,0.013746137730777264,0.03040128115597846,135.14227294921875,122.12068404470172,0.9295004904270172
epoch15,3,9.5367431640625e-07,1.625472627608815e-07,0.31346070817172794,0.30290457606315613,0.0009939935360445621,0.8285714285714285,0.009414296597242355,0.0174114022437217,142.28418731689453,140.0179671560015,0.9393160045146942
epoch20,2,9.5367431640625e-07,1.607749027243699e-07,0.8753750588412264,0.9624999761581421,0.007093253896099278,0.3464285714285715,0.012252674903720617,0.026482399977144917,138.4190216064453,126.40088748931885,0.934099406003952
epoch20,3,9.5367431640625e-07,1.6322615792319084e-07,0.3301324323859132,0.3305084705352783,0.0006663002091175128,0.8035714285714286,0.00885279942303896,0.01872515374062849,145.22019958496094,140.81853212629045,0.9431756734848022
epoch25,2,9.5367431640625e-07,1.6139202330123226e-07,0.8952524419466499,0.9624999761581421,0.0047503602852495014,0.3392857142857143,0.012406397145241499,0.02323526146522324,128.49813842773438,128.69484158924647,0.9200092554092407
epoch25,3,9.5367431640625e-07,1.631127091172857e-07,0.3118237380171195,0.31107042729854584,0.000568102575886899,0.7857142857142857,0.009773016907274723,0.018549163834125335,138.56974029541016,139.1063483783177,0.934302806854248
