epoch,step,loss,loss_deep,loss_pca,loss_mask,loss_pca_stage1,loss_pca_stage2,loss_pca_stage3,loss_mask_stage1,loss_mask_stage2,loss_mask_stage3,lr,epoch_seconds,peak_cuda_memory_gib
1,1171,0.3671527012839061,0.3238395082706269,0.3433491267346603,0.47758266024361506,0.34931881896305245,0.3449582211565096,0.33999578130489533,0.3529199232195403,0.510984571620402,0.507406592725384,0.0096395778991375,213.42998182890005,6.218810558319092
2,2342,0.2693678418048725,0.261865588148418,0.2697728292922705,0.2839673634373561,0.27665356932212715,0.26990860971653186,0.26693905674296503,0.13522477014058681,0.33421388576419614,0.31331647903261584,0.00927734178871898,204.31769383698702,6.218810558319092
3,3513,0.24280286294008097,0.24132018115762766,0.2501410027468031,0.23843008648830027,0.2562047075591568,0.25016026863753543,0.24770395334310555,0.09008099981301315,0.2912344182026274,0.2660871146582417,0.008913526845035089,204.35074310703203,6.218810558319092
4,4684,0.22614767602831762,0.23142399909937106,0.24011841911367632,0.2016242873225835,0.24587310521038652,0.24043625820329512,0.23762583329853698,0.07307076922766578,0.24983717750576598,0.22411795403334342,0.008548053896321633,204.34195841499604,6.218939304351807
5,5855,0.20625171610603568,0.22349488865631856,0.23258793269412117,0.14542915372386334,0.23810439477941095,0.23267295518229905,0.23033032658566377,0.05892536897501764,0.17733398180400886,0.16088776599001822,0.008180835826588701,204.4265184130054,6.22446870803833
6,7026,0.19514874764658466,0.21637924593244223,0.22702965796960917,0.12080683951114203,0.23230879033584048,0.2276343936522123,0.22455515575067903,0.049687695103346745,0.1448252536388262,0.13484344497819317,0.00781177633935498,204.56910335016437,6.231197357177734
7,8197,0.18808770775922234,0.21096640934707975,0.2222377365148037,0.10818027655962285,0.22739926318420903,0.22284951140542605,0.21980605427777025,0.04308465790133971,0.12762188728831955,0.12255355412574735,0.007440768453370394,204.83113959408365,6.238796234130859
8,9368,0.18244469359860677,0.2058641760777857,0.2187151486653736,0.09933527189694237,0.22420603508347633,0.21925374206368686,0.216195630973776,0.03748441858091459,0.11672807942970913,0.11363992566778862,0.007067692653980677,205.23472902202047,6.240079402923584
9,10539,0.17842437378445006,0.20164253107128136,0.21523801935955972,0.09517441225499805,0.22068634398924195,0.21629829258744682,0.2124225190760334,0.034541525005543465,0.11175469962210353,0.10947939167220709,0.006692414596220688,205.7489565210417,6.249741554260254
10,11710,0.17510531775901503,0.19756367628921515,0.21201273564799641,0.0932811835667804,0.21801432781398652,0.2123720227183184,0.2093965196131031,0.034680831735996634,0.10947938613676292,0.10700239995725129,0.006314782215834666,205.96335277310573,6.252010822296143
11,12881,0.17129574929873828,0.19217928551156535,0.20883091023775577,0.09199351458838106,0.21476463611491411,0.2095043449754088,0.20605335308256362,0.03454738073878111,0.10770137943995498,0.10554724638720132,0.0059346220455006315,206.010903326096,6.252010822296143
12,14052,0.16837203190252376,0.188695824166631,0.20579244812948902,0.09030403182177743,0.21164503440349963,0.20702714281495466,0.20271058978686263,0.03497080692988013,0.10549955177864491,0.10332000674242448,0.005551734444467287,206.01078523811884,6.252010822296143
13,15223,0.16567632370810545,0.18546932972299554,0.20325998137335202,0.08850665298234082,0.20928487512517646,0.20404745123637832,0.20037753572711367,0.03433424969745385,0.10303272745300826,0.10145996683726546,0.005165887311612215,206.08579042600468,6.252010822296143
14,16394,0.16309155615080023,0.18149522482954367,0.19985061873110008,0.08952515556721174,0.2059889881594073,0.2007301740291076,0.19686753123387835,0.03508387725755738,0.10448905660505992,0.10232332306194265,0.004776807631040712,205.7127885769587,6.252010822296143
15,17565,0.1606761300467101,0.17886107566390252,0.19780972162237745,0.08717264701078632,0.20414709309982906,0.19833074412750037,0.19496215397633618,0.035062464086114596,0.10147016650395044,0.09943820562859461,0.004384169834043774,205.9863983488176,6.252010822296143
16,18736,0.15791476773055163,0.17481705100998524,0.1947442098917562,0.08728075944313526,0.20137202978312307,0.19522817835631684,0.19180269501817013,0.03528357229977337,0.10146938868815017,0.09956645374492536,0.003987579332698093,205.92204770818353,6.252010822296143
17,19907,0.15638447748886836,0.17263267829976053,0.19354072120279253,0.08673183242038822,0.20010177711586377,0.19408294879199092,0.19059095637957119,0.03582075496707637,0.10038819526386607,0.09890244313277921,0.003586548447294412,205.74148144293576,6.252010822296143
18,21078,0.153518355956554,0.16932027139895803,0.19033194293866904,0.08510093869725728,0.1969264665352901,0.19094725026980514,0.18732494304798078,0.03515770862930408,0.09837595980064061,0.09711321516170857,0.0031804597898155928,206.00790182384662,6.252010822296143
19,22249,0.1511152238989874,0.16604249190815895,0.1878664947976219,0.08450941583674551,0.1948429136755729,0.18847523975789698,0.18471067426781895,0.0347788013878933,0.09752253071428058,0.09659378985809934,0.0027685077578096895,206.00338300084695,6.252010822296143
20,23420,0.14952127337710253,0.16405086016980733,0.18564895648003438,0.08433441638653855,0.19261978452120146,0.1864665213981874,0.18237008059907936,0.035040751478159965,0.09709934195794681,0.09639292463889293,0.002349598995662471,205.97101017902605,6.252010822296143
21,24591,0.14655349099488466,0.1598920849693524,0.18214259144590006,0.0842872025631209,0.18977057277825427,0.18245869860956548,0.17890172909840266,0.03559171518487466,0.09677470051687462,0.09627289617995642,0.0019221683515699744,206.01444340497255,6.252010822296143
22,25762,0.14423938310942927,0.15704207160501374,0.1793236308226109,0.08354975870411993,0.18666726954593096,0.17989915762697908,0.17604085309295753,0.03576917092480485,0.09570043433193566,0.09537158585149544,0.0014837965879669016,206.0100097618997,6.252010822296143
23,26933,0.142292244498237,0.15475560019125192,0.17782167961183112,0.08183609785227364,0.1854387045441073,0.17828224059178419,0.17449852688688178,0.03453931256804224,0.09392117785908645,0.09350376095492345,0.0010302623906800023,206.03263228712603,6.252010822296143
24,28104,0.14079587884648145,0.15233227973891364,0.17557732013939387,0.08294163541876283,0.18353057306587545,0.17587386671036964,0.17221808520700055,0.03556304553445718,0.09474205172578562,0.0948128188005072,0.0005523160161440768,206.01619112002663,6.252010822296143
25,29275,0.13838762268869415,0.14992106107503406,0.17275493282166227,0.0809534365338306,0.18078974233566442,0.17320507091655374,0.169270920114676,0.034364681044334176,0.09300160452239947,0.09236003516081252,9.55328615544644e-07,206.0612557241693,6.252010822296143
