radius,class,interior_loss_n,interior_loss_mean,interior_loss_median,interior_loss_ci95,boundary_loss_n,boundary_loss_mean,boundary_loss_median,boundary_loss_ci95
1,pooled,6068,0.022628747301408368,0.0,"[0.017654506339440032, 0.027546622802710134]",6102,0.011384170196152002,0.0,"[0.007466066094105164, 0.015311037767729975]"
1,0,2034,0.015604782682365587,0.0,"[0.007265798101714005, 0.0241392792071521]",2046,0.011177435944614154,0.0,"[0.00448244032967127, 0.01799180319814283]"
1,1,2695,0.05348771750915786,2.029056083108216e-05,"[0.046155777402822236, 0.06123175038552327]",2713,0.03331837352547047,0.0,"[0.027452357096624934, 0.039336885113941664]"
1,2,950,-0.028936868181276425,0.0,"[-0.04137003946151457, -0.016606338251914085]",952,-0.03371393393285325,0.0,"[-0.04331650396372674, -0.02431572106024033]"
1,3,389,-0.028504532817361077,0.0,"[-0.04706843523544857, -0.010512365327991898]",391,-0.029923042650348144,0.0,"[-0.045934362570673334, -0.014175023502852534]"
3,pooled,5983,0.024133513592602476,0.0,"[0.0191788130609382, 0.029225197444205455]",6102,0.011370322793576101,0.0,"[0.0074783621642979, 0.015278102909527722]"
3,0,2010,0.016570612959459115,0.0,"[0.008044084430868513, 0.025166771300993873]",2046,0.011704389468778852,0.0,"[0.004992200636600176, 0.01859160854398174]"
3,1,2660,0.05456496366629307,2.104199983166133e-05,"[0.04692096110148431, 0.06234077349864858]",2713,0.03250711130183774,0.0,"[0.026717467061079574, 0.03846223811253901]"
3,2,932,-0.025705296658033994,0.0,"[-0.0380792557224733, -0.013055619528542258]",952,-0.03292260375815668,0.0,"[-0.042441995884157944, -0.023558064419166972]"
3,3,381,-0.026513351944945154,0.0,"[-0.045372220902649085, -0.008081829986535201]",391,-0.029194233633863975,0.0,"[-0.04523504396594591, -0.013320449881778421]"
5,pooled,5900,0.02502233663347423,0.0,"[0.01983980921186943, 0.030211304703076477]",6102,0.011422985243015488,0.0,"[0.007504633668454706, 0.015321149132900252]"
5,0,1995,0.017648401894522915,0.0,"[0.009169626224015324, 0.026455331836025792]",2046,0.012059676540555614,0.0,"[0.00533303168631384, 0.018915836050313065]"
5,1,2613,0.05526184295035834,2.18359682068181e-05,"[0.04756885522413547, 0.06291300826175841]",2713,0.03178100924376534,0.0,"[0.026016583512780894, 0.03764811441007317]"
5,2,914,-0.02442431889194843,0.0,"[-0.03737715827728813, -0.011878092146685889]",952,-0.03177271160520755,0.0,"[-0.04132161561195899, -0.022381787357636976]"
5,3,378,-0.025534771968573233,0.0,"[-0.045164587062813726, -0.0069078196367840915]",391,-0.02799309176284925,0.0,"[-0.044154496674807024, -0.012075073246659232]"
