distance,class1,class2,images,descriptive_only,contact_delta_n,contact_delta_mean,contact_delta_median,contact_delta_ci95,excess_contact_loss_n,excess_contact_loss_mean,excess_contact_loss_median,excess_contact_loss_ci95
1,0,1,1485,False,1485,-0.01822484029551832,0.0,"[-0.022631934027473342, -0.014072157665578388]",1485,-0.004999656801225304,0.0,"[-0.010909685914508785, 0.0010112825835280393]"
1,0,2,63,False,63,0.030388136389706073,0.0,"[-0.007269690575850192, 0.0717275678329086]",63,-0.0302840321080725,0.0,"[-0.07493443435867835, 0.011247962480587773]"
1,0,3,156,False,156,0.006997810379626477,0.0,"[-0.009994702007722676, 0.025360319090239163]",156,-0.02175796952375836,0.0,"[-0.03834166536373442, -0.006151302791004237]"
1,1,2,855,False,855,-0.006816906847603607,0.0,"[-0.012543703744634618, -0.0012598006071778208]",855,-0.013047105234860197,0.0,"[-0.02086189126105775, -0.005291686936164911]"
1,1,3,215,False,215,0.011125516371347082,0.0,"[-0.005734207436507618, 0.028163754561388282]",215,-0.00894229012702214,0.0,"[-0.025518609029767506, 0.007924235981489088]"
1,2,3,4,True,4,-0.06613756613756613,0.0,"[-0.26785714285714285, 0.06944444444444445]",4,0.01311491816606234,-0.05232553346035851,"[-0.08043803567317064, 0.16276103952491536]"
3,0,1,1485,False,1485,-0.019146651497866863,0.0,"[-0.023725479219827345, -0.014703384469476475]",1485,-0.004173814533918699,0.0,"[-0.010115099636888012, 0.0018437768412542257]"
3,0,2,76,False,76,0.03978181543062419,0.0,"[-0.0022902504713282527, 0.08487328241482206]",76,-0.044649578116368153,0.0,"[-0.09468557500923779, 0.001103084945002366]"
3,0,3,162,False,162,0.008549553759136349,0.0,"[-0.00885672726593412, 0.02691682193654401]",162,-0.02336727928168229,0.0,"[-0.03960890958387622, -0.008115822013558012]"
3,1,2,855,False,855,-0.005458490900378959,0.0,"[-0.011543355054809502, 0.000618824699052251]",855,-0.01409986524006585,0.0,"[-0.022091629114167604, -0.006219901382385722]"
3,1,3,218,False,218,0.013253674473821945,0.0,"[-0.0054483662032822865, 0.032683406343709545]",218,-0.011933149254573542,0.0,"[-0.030069716594671708, 0.005500070304194575]"
3,2,3,4,True,4,-0.05445665445665447,0.0,"[-0.20952380952380956, 0.046153846153846156]",4,-0.0007564838903182797,-0.04525041401839261,"[-0.06568901402925503, 0.1086699763766928]"
5,0,1,1485,False,1485,-0.019824037361808617,0.0,"[-0.02471598212826985, -0.015118481150630778]",1485,-0.0035032665501731433,0.0,"[-0.009616123480647509, 0.0026887546417309117]"
5,0,2,111,False,111,0.026874652259875034,0.0,"[-0.013051516507497182, 0.06694438222602156]",111,-0.03009039481887655,-0.000597104045379937,"[-0.07219768353123034, 0.011820156362603041]"
5,0,3,166,False,166,0.005811243877769652,0.0,"[-0.012247876823957194, 0.025113557546907684]",166,-0.021118972647620488,0.0,"[-0.037816270619044905, -0.004690890526790352]"
5,1,2,856,False,856,-0.004977218601907822,0.0,"[-0.011335437117225572, 0.0015699673938532833]",856,-0.014318191627554192,0.0,"[-0.022497936599883268, -0.006296911872301192]"
5,1,3,218,False,218,0.014303687953975535,0.0,"[-0.005552897163067152, 0.03516896626509252]",218,-0.014029863536256059,0.0,"[-0.03341484693833772, 0.004453350807594359]"
5,2,3,6,True,6,-0.028802979965770668,0.0,"[-0.11627906976744189, 0.02987012987012987]",6,-0.009968712415716457,-0.02194871035175221,"[-0.051111621021467345, 0.04191228109059544]"
