metric,method,n,estimate,ci95
mean_neff,spearman,3417,-0.24972064796117643,"[-0.2798945040028354, -0.218327626976971]"
mean_neff,pearson,3417,-0.4260654991831903,"[-0.45434331270230655, -0.3971509370048145]"
max_neff,spearman,3417,-0.17883910609781997,"[-0.21033058647822334, -0.1466261495407599]"
max_neff,pearson,3417,-0.27063344575261683,"[-0.29593409337143367, -0.2452106533321567]"
mean_entropy,spearman,3417,-0.24863419451186464,"[-0.2782974291823023, -0.21817710757009648]"
mean_entropy,pearson,3417,-0.4029553785615088,"[-0.4296811413735717, -0.3760361100707678]"
mean_top5_mass,spearman,3417,0.22067431017870778,"[0.19017745207366873, 0.2506203173084469]"
mean_top5_mass,pearson,3417,0.3259687623633894,"[0.30239561816367305, 0.34950128715042666]"
mean_top10_mass,spearman,3417,0.22594183624843564,"[0.19554940427060438, 0.25555722515125506]"
mean_top10_mass,pearson,3417,0.3519808683717639,"[0.327299744857451, 0.3760300108870296]"
mean_dominant_share,spearman,3417,0.21655661406425072,"[0.18620086288257653, 0.2465901603404953]"
mean_dominant_share,pearson,3417,0.2820855255958967,"[0.2594351871688596, 0.30544651187340316]"
