image_id,class,gt_area,gcqm_tp,gcqm_fp,gcqm_fn,gcqm_tn,gcqm_precision,gcqm_recall,gcqm_iou,gcqm_dice,gcqm_fp_rate,gcqm_fn_rate,sshr_tp,sshr_fp,sshr_fn,sshr_tn,sshr_precision,sshr_recall,sshr_iou,sshr_dice,sshr_fp_rate,sshr_fn_rate,delta_fp,delta_fn,normalized_delta_fp,normalized_delta_fn,delta_iou
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,39372,39372,98,0,0,0.9975171015961489,1.0,0.9975171015961489,0.9987570076862586,1.0,0.0,39372,98,0,0,0.9975171015961489,1.0,0.9975171015961489,0.9987570076862586,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,98,0,0,98,39372,,0.0,0.0,0.0,0.0,1.0,0,0,98,39372,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,11551,11551,485,0,0,0.9597042206713193,1.0,0.9597042206713193,0.9794378259210582,1.0,0.0,11551,485,0,0,0.9597042206713193,1.0,0.9597042206713193,0.9794378259210582,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,485,0,0,485,11551,,0.0,0.0,0.0,0.0,1.0,0,0,485,11551,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,29838,22162,2804,7676,15862,0.8876872546663462,0.7427441517527984,0.6789412413455058,0.8087730822567696,0.1502196507018108,0.25725584824720155,21946,2132,7892,16534,0.9114544397375197,0.7355050606609022,0.6864560525492649,0.8140811632910453,0.11421836494160506,0.2644949393390978,672,-216,0.022521616730336307,-0.007239091091893813,-0.007514811203759075
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,18666,15862,7676,2804,22162,0.6738890305038661,0.8497803492981892,0.6021562523726368,0.7516823049947873,0.25725584824720155,0.1502196507018108,16534,7892,2132,21946,0.6769016621632686,0.8857816350583949,0.6225619399051133,0.7673814165042235,0.2644949393390978,0.11421836494160506,-216,672,-0.011571841851488497,0.036001285760186436,-0.020405687532476513
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,11013,8358,5691,2655,12990,0.5949177877428998,0.7589212748569872,0.5003591954022989,0.6669858750299258,0.3046410791713506,0.2410787251430128,11013,7583,0,11098,0.5922241342224134,1.0,0.5922241342224134,0.7438954371981492,0.4059204539371554,0.0,-1892,2655,-0.17179696722040153,0.24107872514279388,-0.09186493882011448
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,18681,12990,2655,5691,8358,0.8302972195589645,0.6953589208286495,0.608830146231721,0.7568606886907884,0.2410787251430128,0.3046410791713506,11098,0,7583,11013,1.0,0.5940795460628446,0.5940795460628446,0.7453574666711441,0.0,0.4059204539371554,2655,-1892,0.14212301268661093,-0.10127937476575061,0.014750600168876415
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,18417,15490,9286,2927,20204,0.6252018082014853,0.8410707498506814,0.5591452189293579,0.7172458500219943,0.3148864021702272,0.15892925014931855,18154,11532,263,17958,0.6115340564575894,0.9857197154802628,0.6061638118134162,0.7547969981082261,0.39104781281790435,0.0142802845197372,-2246,2664,-0.12195254384529404,0.14464896562950283,-0.0470185928840583
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,29490,20204,2927,9286,15490,0.8734598590635944,0.6851135978297728,0.6232532313292408,0.7679063491761844,0.15892925014931855,0.3148864021702272,17958,263,11532,18154,0.985566105043631,0.6089521871820957,0.6035693879608779,0.7527823772295698,0.0142802845197372,0.39104781281790435,2664,-2246,0.09033570701929795,-0.07616141064765135,0.01968384336836293
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,18409,14670,11003,3739,20764,0.5714174424492657,0.7968928241620946,0.49877600979192166,0.6655777868517763,0.346365725438348,0.20310717583790538,17184,19770,1225,11997,0.46501055366130867,0.9334564615133902,0.4500903638125671,0.620775608258223,0.6223439418264236,0.06654353848660981,-8767,2514,-0.4762344505402378,0.13656363735122137,0.04868564597935454
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,31767,20764,3739,11003,14670,0.8474064400277517,0.653634274561652,0.5848025685799583,0.7380131508796872,0.20310717583790538,0.346365725438348,11997,1225,19770,17184,0.9073513840568749,0.37765605817357634,0.3636336081474297,0.5333303696459134,0.06654353848660981,0.6223439418264236,2514,-8767,0.07913872886955672,-0.2759782163879888,0.2211689604325286
