snapshot,stage,max_abs_sum_error,mean_abs_sum_error
step0250,2,9.5367431640625e-07,1.6141459013852e-07
step0250,3,9.5367431640625e-07,1.609471453889455e-07
step0500,2,9.5367431640625e-07,1.6015243531342094e-07
step0500,3,9.5367431640625e-07,1.624569847535895e-07
step1000,2,1.1920928955078125e-06,1.61511405138981e-07
step1000,3,1.1920928955078125e-06,1.6153575899124917e-07
epoch1,2,9.5367431640625e-07,1.6235304300948883e-07
epoch1,3,1.0132789611816406e-06,1.618630278699129e-07
epoch2,2,1.0728836059570312e-06,1.6020886306478133e-07
epoch2,3,9.5367431640625e-07,1.6068461761165054e-07
epoch3,2,1.0132789611816406e-06,1.6092042187665356e-07
epoch3,3,9.5367431640625e-07,1.5989406776384385e-07
epoch4,2,1.0728836059570312e-06,1.6070184472027904e-07
epoch4,3,9.5367431640625e-07,1.6173770589489322e-07
epoch5,2,1.0728836059570312e-06,1.6023618698568498e-07
epoch5,3,9.5367431640625e-07,1.6125659740851006e-07
