snapshot,stage,present_class_query_coverage,absent_class_dominance,top1_confidence,all_finite
step0250,1,0.9821428571428571,0.1875,0.14040571567602456,True
step0250,2,0.9642857142857143,0.09375,0.1403394869994372,True
step0250,3,0.9821428571428571,0.3125,0.09120375316706486,True
step0500,1,0.9464285714285714,0.15625,0.1313533739594277,True
step0500,2,0.9642857142857143,0.0625,0.13473613501992077,True
step0500,3,0.9821428571428571,0.15625,0.10384900827193633,True
step1000,1,0.9642857142857143,0.0625,0.09795826053596102,True
step1000,2,0.9821428571428571,0.0625,0.1141088925069198,True
step1000,3,1.0,0.125,0.07768190553179011,True
epoch1,1,0.9821428571428571,0.0625,0.0980803593993187,True
epoch1,2,0.9642857142857143,0.0625,0.12377591268159449,True
epoch1,3,1.0,0.0625,0.07369465986266732,True
epoch2,1,0.9642857142857143,0.0625,0.1051408693601843,True
epoch2,2,0.9285714285714286,0.03125,0.11473961838055402,True
epoch2,3,0.9821428571428571,0.03125,0.07661814350285567,True
epoch3,1,0.9642857142857143,0.0625,0.10358408142928965,True
epoch3,2,0.9821428571428571,0.0625,0.10817033110652119,True
epoch3,3,0.9642857142857143,0.0625,0.07826158180250786,True
epoch4,1,0.9642857142857143,0.0625,0.10356286677415483,True
epoch4,2,0.9821428571428571,0.03125,0.10876084433402866,True
epoch4,3,0.9642857142857143,0.03125,0.07695681191398762,True
epoch5,1,0.9642857142857143,0.0625,0.10942286666249856,True
epoch5,2,0.9821428571428571,0.03125,0.11453533382155001,True
epoch5,3,0.9821428571428571,0.03125,0.08074659819249064,True
