snapshot,stage,positive_recall,positive_confidence,positive_F_median,rival_leakage,background_leakage,probability_gap,rival_gap,background_gap,empty_fraction,median_area,fraction_area_lt_001,fraction_area_gt_090,component_p90,permutation
step0250,2,0.386857271194458,0.5233358673282811,0.49556849896907806,0.3888575275739034,0.2571293609438553,0.043673777898947885,0.02886478787585184,0.10491370682473261,0.0,0.280133917927742,0.0,0.017857142857142856,43.5,0
step0250,2,0.403531938791275,0.5233006559314188,0.4943933039903641,0.3899423711001873,0.25500288189920994,0.04435126390750865,0.02959992065630951,0.10535280492106835,0.0,0.2667410671710968,0.0,0.017857142857142856,43.5,1
step0250,2,0.38520483672618866,0.5237859065982707,0.4950782209634781,0.39080890379846095,0.25524421179267975,0.04486530728983512,0.0302037433938519,0.10549558184134383,0.0,0.26881377398967743,0.0,0.017857142857142856,44.0,2
step0250,2,0.4215686172246933,0.5217437909551261,0.4946598410606384,0.3864593687156836,0.25444358548459906,0.0426979892318991,0.027906493242371266,0.10386557471152935,0.0,0.2705675959587097,0.0,0.017857142857142856,39.5,3
step0250,2,0.38220585882663727,0.5227602405469439,0.4940353333950043,0.3909904421203666,0.25418114525798174,0.045811675861977874,0.03171108074422019,0.10412216438793448,0.0,0.27598850429058075,0.0,0.017857142857142856,42.5,4
step0250,2,0.39478057622909546,0.5233205880339812,0.4951634407043457,0.3896894874672095,0.25526910340635195,0.043976749222275124,0.029155858330290274,0.10526589206229509,0.0,0.28890304267406464,0.0,0.017857142857142856,45.0,5
step0250,2,0.38499897718429565,0.5221544495265166,0.4951624572277069,0.40013310615387226,0.25488581567160074,0.042074058880494425,0.026952363784606803,0.10460712369215808,0.0,0.26881377398967743,0.0,0.017857142857142856,42.5,6
step0250,2,0.355330228805542,0.5214485433649001,0.4929285943508148,0.3891309560587009,0.2544942238323745,0.041989020352448614,0.02721353060919307,0.10309041486412246,0.0,0.2712053507566452,0.0,0.017857142857142856,43.0,7
step0250,3,0.595822274684906,0.5304105293211384,0.5183278322219849,0.5090555286966264,0.22018141265115923,0.033742657281617905,0.015771589668800656,0.10805879238691513,0.0,0.3783482164144516,0.0,0.017857142857142856,36.0,0
step0250,3,0.5815304815769196,0.5291773111631622,0.5173031091690063,0.5029181600548327,0.21622627460220384,0.031691826261058764,0.013660659867826053,0.10625648912114732,0.0,0.37037627398967743,0.0,0.017857142857142856,39.0,1
step0250,3,0.5758779346942902,0.5294030486788452,0.5175787806510925,0.5053026865029501,0.21736032027928603,0.031228305529340805,0.012933201317515852,0.10688443601998393,0.0,0.36591199040412903,0.0,0.017857142857142856,36.5,2
step0250,3,0.5779246985912323,0.5287552925380601,0.5168957710266113,0.5092824060159425,0.21835125956152165,0.03114890696644501,0.01293555503527466,0.106466965525849,0.0,0.3823341727256775,0.0,0.017857142857142856,38.5,3
step0250,3,0.5821314454078674,0.5276965793719325,0.5162489116191864,0.5109822508465085,0.2164248237386346,0.029561688919658935,0.011080010212500935,0.10598936485774585,0.0,0.3879145383834839,0.0,0.017857142857142856,36.0,4
step0250,3,0.593169778585434,0.5279447304734678,0.5163937509059906,0.5091993145748145,0.2163974555719289,0.029723212469163818,0.011281031172635125,0.10598755393164366,0.0,0.38313136994838715,0.0,0.017857142857142856,39.0,5
step0250,3,0.6033653914928436,0.5287471717058889,0.5166492164134979,0.5129150242027309,0.21918905441028377,0.03105201668507407,0.012902969320866764,0.10610415521183025,0.0,0.3810586631298065,0.0,0.017857142857142856,37.5,6
step0250,3,0.5711138248443604,0.5282867700617837,0.515924721956253,0.5106823703584572,0.21458921620311835,0.03071222416616698,0.012478608620701936,0.10611407927734468,0.0,0.37197065353393555,0.0,0.017857142857142856,39.5,7
step0500,2,0.34172454476356506,0.5122383100632989,0.5130705833435059,0.4046425729576084,0.0770925923768017,0.05088679775737226,0.029482478115484878,0.23330559398462858,0.0,0.3472576439380646,0.05357142857142857,0.017857142857142856,15.0,0
step0500,2,0.32418982684612274,0.5121103472231805,0.5180041790008545,0.4158565916121006,0.07719907433622414,0.05209511250050658,0.03115077515832676,0.2305936992185435,0.0,0.3600127547979355,0.03571428571428571,0.017857142857142856,15.0,1
step0500,2,0.3062500059604645,0.5118600695120008,0.5086545050144196,0.41191798717611366,0.07443055535356204,0.05453415535762707,0.03369912454239288,0.23210117473791125,0.0,0.3431122303009033,0.03571428571428571,0.017857142857142856,15.0,2
step0500,2,0.3481481522321701,0.5099932363606001,0.5181992053985596,0.3794741667393181,0.08068981501791213,0.05108129864274075,0.030187001418150283,0.229153417331593,0.0,0.3459821343421936,0.07142857142857142,0.017857142857142856,16.0,3
step0500,2,0.26588982343673706,0.5099119686895851,0.504046767950058,0.4044223514851183,0.0790601850176851,0.05199007964245994,0.0311414214212557,0.2296732388970471,0.0,0.3531568944454193,0.07142857142857142,0.017857142857142856,18.0,4
step0500,2,0.4123493880033493,0.5116601140866064,0.5182526707649231,0.3981880442963706,0.076379629659156,0.05384100578978451,0.032828781495214565,0.2329181605885518,0.0,0.3493303507566452,0.05357142857142857,0.017857142857142856,15.0,5
step0500,2,0.3734375089406967,0.5101146302840113,0.5170882940292358,0.4235308843354384,0.07594444443368249,0.049246300998919745,0.02783927512812634,0.23168816112297874,0.0,0.3459821343421936,0.03571428571428571,0.017857142857142856,15.0,6
