snapshot,stage,max_weight_sum_error,max_contribution_sum_error,all_finite
step0250,2,1.1920928955078125e-07,0.0,True
step0250,3,1.1920928955078125e-07,0.0,True
step0500,2,1.1920928955078125e-07,0.0,True
step0500,3,1.1920928955078125e-07,0.0,True
step1000,2,1.1920928955078125e-07,0.0,True
step1000,3,2.384185791015625e-07,0.0,True
epoch1,2,1.1920928955078125e-07,0.0,True
epoch1,3,2.384185791015625e-07,0.0,True
epoch2,2,1.1920928955078125e-07,0.0,True
epoch2,3,1.1920928955078125e-07,0.0,True
epoch3,2,1.1920928955078125e-07,0.0,True
epoch3,3,1.1920928955078125e-07,0.0,True
epoch4,2,2.384185791015625e-07,0.0,True
epoch4,3,2.384185791015625e-07,0.0,True
epoch5,2,1.1920928955078125e-07,0.0,True
epoch5,3,1.1920928955078125e-07,0.0,True
