variant,category,errors,v00_errors,recovered,harmed,net
V00,absent_class,3983975,3983975,0,0,0
V00,present_confusion,23069362,23069362,0,0,0
V00,boundary,6252805,6252805,0,0,0
V00,interior,20800532,20800532,0,0,0
V10,absent_class,4004379,3983975,13146,35638,-22492
V10,present_confusion,23108357,23069362,196076,232983,-36907
V10,boundary,6245749,6252805,54057,47001,7056
V10,interior,20866987,20800532,155165,221620,-66455
V01,absent_class,3981498,3983975,99342,109540,-10198
V01,present_confusion,23334840,23069362,723883,976686,-252803
V01,boundary,6252172,6252805,170629,169996,633
V01,interior,21064166,20800532,652596,916230,-263634
V11,absent_class,4005763,3983975,101636,139612,-37976
V11,present_confusion,23412314,23069362,839645,1166409,-326764
V11,boundary,6244654,6252805,209877,201726,8151
V11,interior,21173423,20800532,731404,1104295,-372891
