variant,class,iou
V00,0,0.7680823099872558
V00,1,0.702441326591412
V00,2,0.5847410231106274
V00,3,0.6441982270293936
V10,0,0.7673651094249951
V10,1,0.7024201830916516
V10,2,0.5830555031575825
V10,3,0.6434984207271176
V01,0,0.7649252480045544
V01,1,0.7014492783532632
V01,2,0.5795704259894112
V01,3,0.6408106806612494
V11,0,0.7637502799548453
V11,1,0.7011498246697876
V11,2,0.5772095135786899
V11,3,0.6399064767271895
A0,0,0.7644940176507552
A0,1,0.7057213006329233
A0,2,0.5782720251493095
A0,3,0.6446463166113434
