presence,region,class,pixels,deep_correct,shallow_correct,deep_help,deep_harm,both_correct,both_wrong,deep_accuracy,raw28_1_accuracy,teacher_net,teacher_net_rate
deployed,overall,overall,158639345,130206063,123445180,10931954,4171071,119274109,24262211,0.8207677798972254,0.7781498341410827,6760883,0.04261794575614265
deployed,overall,0,61781842,53017317,46804700,6677837,465220,46339480,8299305,0.8581375252618723,0.7575801964596652,6212617,0.10055732880220697
deployed,overall,1,66845621,56556423,59598130,406267,3447974,56150156,6841224,0.8460752126156477,0.8915786719970782,-3041707,-0.045503459381430536
deployed,overall,2,20708801,13797329,11079263,2965358,247292,10831971,6664180,0.6662543620946476,0.5350026300412081,2718066,0.1312517320534395
deployed,overall,3,9303081,6834994,5963087,882492,10585,5952502,2457502,0.7347021916717699,0.6409798001328807,871907,0.0937223915388891
deployed,B0_le_2,overall,5182227,2511714,2513571,424905,426762,2086809,2243751,0.4846784982595321,0.48503683840943285,-1857,-0.0003583401499008052
deployed,B0_le_2,0,1534322,814356,607398,234724,27766,579632,692200,0.5307595146260042,0.39587387784311245,206958,0.13488563678289173
deployed,B0_le_2,1,2437217,1259683,1611965,26256,378538,1233427,798996,0.5168530336034912,0.6613957641030733,-352282,-0.1445427304995821
deployed,B0_le_2,2,958315,347157,225789,141147,19779,206010,591379,0.362257712756244,0.23561042037325933,121368,0.12664729238298472
deployed,B0_le_2,3,252373,90518,68419,22778,679,67740,161176,0.3586675278258768,0.2711026932358057,22099,0.08756483459007104
deployed,B1_3_7,overall,7725052,4114380,4035674,666977,588271,3447403,3022401,0.532602240088481,0.5224138297062596,78706,0.010188410382221375
deployed,B1_3_7,0,2393021,1377340,1050590,374476,47726,1002864,967955,0.5755653627778444,0.43902247410281814,326750,0.13654288867502626
deployed,B1_3_7,1,3461560,1992867,2462259,30377,499769,1962490,968924,0.5757135511156819,0.7113148407076578,-469392,-0.13560128959197587
deployed,B1_3_7,2,1476798,592910,408972,223511,39573,369399,844315,0.4014834797988621,0.27693157764298165,183938,0.1245519021558805
deployed,B1_3_7,3,393673,151263,113853,38613,1203,112650,241207,0.38423513931613296,0.28920703223233496,37410,0.09502810708379797
deployed,B2_ge_8,overall,145732066,123579969,116895935,9840072,3156038,113739897,18996059,0.8479943528694639,0.8021291278475391,6684034,0.045865225021924826
deployed,B2_ge_8,0,57854499,50825621,45146712,6068637,389728,44756984,6639150,0.8785076680034858,0.7803491998089898,5678909,0.09815846819449599
deployed,B2_ge_8,1,60946844,53303873,55523906,349634,2569667,52954239,5073304,0.8745961152639832,0.9110218406058893,-2220033,-0.036425725341906134
deployed,B2_ge_8,2,18273688,12857262,10444502,2600700,187940,10256562,5228486,0.7035942607753837,0.5715596107364862,2412760,0.13203465003889744
deployed,B2_ge_8,3,8657035,6593213,5780815,821101,8703,5772112,2055119,0.7616017493287252,0.6677592270332741,812398,0.09384252229545104
deployed,boundary,overall,12907279,6626094,6549245,1091882,1015033,5534212,5266152,0.5133610267508745,0.5074070995133831,76849,0.005953927237491341
deployed,boundary,0,3927343,2191696,1657988,609200,75492,1582496,1660155,0.5580607550702854,0.4221653163474644,533708,0.135895438722821
deployed,boundary,1,5898777,3252550,4074224,56633,878307,3195917,1767920,0.5513939584425721,0.6906896124400024,-821674,-0.13929565399743032
deployed,boundary,2,2435113,940067,634761,364658,59352,575409,1435694,0.3860465612889422,0.2606700387209957,305306,0.12537652256794654
deployed,boundary,3,646046,241781,182272,61391,1882,180390,402383,0.37424734461632764,0.28213470867399537,59509,0.09211263594233228
deployed,interior,overall,145732066,123579969,116895935,9840072,3156038,113739897,18996059,0.8479943528694639,0.8021291278475391,6684034,0.045865225021924826
deployed,interior,0,57854499,50825621,45146712,6068637,389728,44756984,6639150,0.8785076680034858,0.7803491998089898,5678909,0.09815846819449599
deployed,interior,1,60946844,53303873,55523906,349634,2569667,52954239,5073304,0.8745961152639832,0.9110218406058893,-2220033,-0.036425725341906134
deployed,interior,2,18273688,12857262,10444502,2600700,187940,10256562,5228486,0.7035942607753837,0.5715596107364862,2412760,0.13203465003889744
deployed,interior,3,8657035,6593213,5780815,821101,8703,5772112,2055119,0.7616017493287252,0.6677592270332741,812398,0.09384252229545104
