presence,region,class,pixels,deep_correct,shallow_correct,deep_help,deep_harm,both_correct,both_wrong,deep_accuracy,raw28_1_accuracy,teacher_net,teacher_net_rate
oracle,overall,overall,158639345,133757077,117488661,23266202,6997786,110490875,17884482,0.8431519746882464,0.7406022824917741,16268416,0.10254969219647245
oracle,overall,0,61781842,52647533,39204851,14052797,610115,38594736,8524194,0.85215220679241,0.634569150592823,13442682,0.21758305619958693
oracle,overall,1,66845621,58920084,64260245,654263,5994424,58265821,1931113,0.8814352102436149,0.9613231807660221,-5340161,-0.07988797052240715
oracle,overall,2,20708801,14898085,10288949,4982593,373457,9915492,5437259,0.7194083810067033,0.49683943556172083,4609136,0.22256894544498254
oracle,overall,3,9303081,7291375,3734616,3576549,19790,3714826,1991916,0.7837591653775776,0.40143862017325227,3556759,0.38232054520432535
oracle,B0_le_2,overall,5182227,2571070,2590475,819969,839374,1751101,1771783,0.496132261284579,0.49987679042234157,-19405,-0.0037445291377625873
oracle,B0_le_2,0,1534322,727413,300832,463461,36880,263952,770029,0.47409409498136634,0.19606836113931755,426581,0.2780257338420488
oracle,B0_le_2,1,2437217,1371692,2098650,43735,770693,1327957,294832,0.5628107796720604,0.8610845895133671,-726958,-0.2982738098413067
oracle,B0_le_2,2,958315,360415,177207,214207,30999,146208,566901,0.3760924122026682,0.18491518968188958,183208,0.19117722252077865
oracle,B0_le_2,3,252373,111550,13786,98566,802,12984,140021,0.44200449334913006,0.05462549480332682,97764,0.3873789985458032
oracle,B1_3_7,overall,7725052,4266233,4099902,1279808,1113477,2986425,2345342,0.5522594540463934,0.5307280779469187,166331,0.0215313760994748
oracle,B1_3_7,0,2393021,1271809,610919,723066,62176,548743,1059036,0.5314658751427589,0.2552919510526652,660890,0.27617392409009367
oracle,B1_3_7,1,3461560,2171512,3107943,49173,985604,2122339,304444,0.6273217855533343,0.8978446134112943,-936431,-0.27052282785796
oracle,B1_3_7,2,1476798,630683,355671,338991,63979,291692,782136,0.427061114654814,0.24083930232841594,275012,0.18622181232639806
oracle,B1_3_7,3,393673,192229,25369,168578,1718,23651,199726,0.4882961239404277,0.06444180830283001,166860,0.4238543156375977
oracle,B2_ge_8,overall,145732066,126919774,110798284,21166425,5044935,105753349,13767357,0.8709117868403787,0.7602876089055102,16121490,0.1106241779348685
oracle,B2_ge_8,0,57854499,50648311,38293100,12866270,511059,37782041,6695129,0.8754429106714761,0.661886295134973,12355211,0.21355661553650304
oracle,B2_ge_8,1,60946844,55376880,59053652,561355,4238127,54815525,1331837,0.9086094761526946,0.9689369969673901,-3676772,-0.06032752081469551
oracle,B2_ge_8,2,18273688,13906987,9756071,4429395,278479,9477592,4088222,0.7610388773191268,0.5338862631341851,4150916,0.22715261418494176
oracle,B2_ge_8,3,8657035,6987596,3695461,3309405,17270,3678191,1652169,0.807158108983041,0.42687375065481425,3292135,0.3802843583282267
oracle,boundary,overall,12907279,6837303,6690377,2099777,1952851,4737526,4117125,0.5297245840893344,0.5183413948052104,146926,0.011383189284124098
oracle,boundary,0,3927343,1999222,911751,1186527,99056,812695,1829065,0.5090520486751475,0.2321546653806403,1087471,0.27689738329450725
oracle,boundary,1,5898777,3543204,5206593,92908,1756297,3450296,599276,0.6006675621065181,0.8826563540205029,-1663389,-0.2819887919139849
oracle,boundary,2,2435113,991098,532878,553198,94978,437900,1349037,0.40700287830585274,0.21883091256956042,458220,0.18817196573629233
oracle,boundary,3,646046,303779,39155,267144,2520,36635,339747,0.470212647396625,0.06060713942970005,264624,0.40960550796692496
oracle,interior,overall,145732066,126919774,110798284,21166425,5044935,105753349,13767357,0.8709117868403787,0.7602876089055102,16121490,0.1106241779348685
oracle,interior,0,57854499,50648311,38293100,12866270,511059,37782041,6695129,0.8754429106714761,0.661886295134973,12355211,0.21355661553650304
oracle,interior,1,60946844,55376880,59053652,561355,4238127,54815525,1331837,0.9086094761526946,0.9689369969673901,-3676772,-0.06032752081469551
oracle,interior,2,18273688,13906987,9756071,4429395,278479,9477592,4088222,0.7610388773191268,0.5338862631341851,4150916,0.22715261418494176
oracle,interior,3,8657035,6987596,3695461,3309405,17270,3678191,1652169,0.807158108983041,0.42687375065481425,3292135,0.3802843583282267
