branch,point,epoch,mIoU,mDice,cam28_1_mIoU,cam28_1_mDice,class_0_iou,class_1_iou,class_2_iou,class_3_iou
C0,step0,0,0.6732834150110829,0.8026826223526107,0.6702716841299478,0.8004584610301833,0.7644940176507552,0.7057213006329233,0.5782720251493095,0.6446463166113434
C0,epoch1,1,0.6702840360244543,0.8002947179912681,0.667002819714421,0.7979100567818054,0.7645930577695974,0.7067706025900792,0.5693412003109155,0.6404312834272251
C0,epoch2,2,0.670338302808285,0.8005964624566133,0.6670150629101095,0.7981669579420517,0.7598662766040135,0.7035497474435226,0.575435101604637,0.6425020855809669
C0,epoch3,3,0.6726027276840728,0.8021528246156312,0.6692467202914562,0.7996630823834693,0.7682973251213467,0.7053565935960947,0.5832926316201634,0.6334643603986864
C0,epoch4,4,0.6705831626338287,0.8007236491289192,0.66693944583742,0.79801160875975,0.761539561824063,0.7034059378777267,0.5744530081475036,0.6429341426860214
C0,epoch5,5,0.6723116170028778,0.8019960059992559,0.669040410930467,0.7995668570081389,0.7637212676186376,0.7038288964126358,0.5775854060307596,0.6441108979494785
D,step0,0,0.6732622181000186,0.8026720462770138,0.6703499865006386,0.8005255088306699,0.7644234193222261,0.7056292152136947,0.5784100733000761,0.6445861645640778
D,epoch1,1,0.6702832208779917,0.8003012270000747,0.6670721016952981,0.7979732577465684,0.7644345263959618,0.7068293340404457,0.5695711653190558,0.6402978577565039
D,epoch2,2,0.670486997982726,0.8007348328710254,0.6671803650348088,0.7983218071861363,0.7592321702230965,0.7033758514343633,0.5761098379332427,0.643230132340202
D,epoch3,3,0.6725399272926514,0.8021115886080887,0.6691959013525334,0.7996387106566882,0.7681866559111542,0.705207075785008,0.5833329325428931,0.6334330449315507
D,epoch4,4,0.6704711105225432,0.8006526912821313,0.6669562934526898,0.7980406011921468,0.7612970233059231,0.703130788859661,0.5746160217357795,0.642840608188809
D,epoch5,5,0.6724853430032431,0.8021250083352814,0.6693844628120691,0.7998296310366679,0.7637066263877759,0.703875480394378,0.5776322256094696,0.6447270396213489
R,step0,0,0.6736830712960025,0.8029775665216957,0.670923437606786,0.8009475667883111,0.7648244763481642,0.7062363637570622,0.579172134102558,0.6444993109762258
R,epoch1,1,0.6704353222028689,0.8004152587075921,0.6673525266454958,0.7981744933659728,0.7645697094838299,0.7070202274485534,0.5699870074518772,0.6401643444272149
R,epoch2,2,0.6710092839518889,0.8011159448542953,0.6678906849831265,0.798845837526986,0.7599094447372767,0.7038306658429001,0.5771213752503536,0.6431756499770247
R,epoch3,3,0.6728385165109625,0.8023310325884445,0.66971575532384,0.8000180098324177,0.7684782132996758,0.7054859077078883,0.5839978893761489,0.6333920556601372
R,epoch4,4,0.6708401889465596,0.8009269369413106,0.6674725011800129,0.7984278265606497,0.7616273054309183,0.7034980883141201,0.575441704465521,0.6427936575756789
R,epoch5,5,0.6729834918424072,0.8024851819838702,0.6700626434094991,0.800322250349101,0.7642810375297239,0.704467048454234,0.5784623293109628,0.6447235520747082
DR,step0,0,0.6736751943137698,0.8029767628321792,0.6710314316328851,0.8010364200648341,0.7647580022974892,0.706175235631759,0.5793389646216448,0.6444285747041859
DR,epoch1,1,0.6705800026880007,0.8005240948061133,0.6675970057114726,0.7983646732053549,0.7648900960655752,0.7069011208463252,0.570440934747612,0.6400878590924897
DR,epoch2,2,0.6708936543621631,0.801044883916194,0.667835845004316,0.7988227673361922,0.759487991904161,0.7036997478827953,0.5773049702076614,0.6430819074540345
DR,epoch3,3,0.6725331623261473,0.8021107141004725,0.6694836670288256,0.7998546115601648,0.7683804163334814,0.705292742356994,0.5842566748818725,0.6322028157322417
DR,epoch4,4,0.6708000598010833,0.800904324406843,0.6676162894392974,0.7985450717938659,0.7614668684289613,0.7034422403559641,0.5755983238094482,0.6426928066099595
DR,epoch5,5,0.6728797243409477,0.8024155659864499,0.6700753978665206,0.800343453010387,0.7641072535421364,0.7042838724825551,0.5784984915819664,0.6446292797571329
